FilterProfileService filterID WavelengthUnit WavelengthUCD PhotSystem DetectorType Band Instrument Facility ProfileReference CalibrationReference Description Comments WavelengthRef WavelengthMean WavelengthEff WavelengthMin WavelengthMax WidthEff WavelengthCen WavelengthPivot WavelengthPeak WavelengthPhot FWHM Fsun PhotCalID MagSys ZeroPoint ZeroPointUnit Mag0 ZeroPointType AsinhSoft TrasmissionCurve
ivo://svo/fps JWST/MIRI.F560W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F560W filter" "nominal transmission of the JWST OTE is not included" 56352.563859509 56651.275394955 55870.248123579 48944.356212182 64279.575299929 9461.3659004152 56172.527211272 56352.563859509 60580.0 56071.643679822 11114.049959133 0.22168176470067 JWST/MIRI.F560W/Vega Vega 115.28910738511 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F560W
ivo://svo/fps JWST/MIRI.F770W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F770W filter" "nominal transmission of the JWST OTE is not included" 76393.335552613 77111.482022015 75224.937437758 64802.789901729 88382.08724759 18278.13775755 76522.855640918 76393.335552613 85170.0 75706.258307286 20734.54751649 0.071882509575773 JWST/MIRI.F770W/Vega Vega 65.079869393146 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F770W
ivo://svo/fps JWST/MIRI.F1000W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F1000W filter" "nominal transmission of the JWST OTE is not included" 99531.161815928 99981.091216778 98793.448532805 87645.924105786 111053.32749721 17036.672376615 99622.629453986 99531.161815928 105000.0 99093.346010002 18679.183123014 0.025102696146854 JWST/MIRI.F1000W/Vega Vega 38.508203132828 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1000W
ivo://svo/fps JWST/MIRI.F1065C Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/jwst-mid-infrared-instrument/miri-instrumentation/miri-filters-and-dispersers "" "MIRI F1065C coronographic filter" "Approximate curve digitized from plot in reference webpage." 105628.39025921 105681.52260848 105542.38813308 100226.729492 111577.48480823 5647.2487338714 105649.31746293 105628.39025921 106155.97 105577.83061172 5667.4070890804 0.019657454314828 JWST/MIRI.F1065C/Vega Vega 33.890489436923 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1065C
ivo://svo/fps JWST/MIRI.F1140C Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/jwst-mid-infrared-instrument/miri-instrumentation/miri-filters-and-dispersers "" "MIRI F1140C coronographic filter" "Approximate curve digitized from plot in reference webpage." 113103.03238919 113156.51557554 113013.46845431 107357.90296567 119593.94818658 6036.5321991656 113148.7559061 113103.03238919 113051.66 113049.15288667 5867.1740324663 0.015003356552015 JWST/MIRI.F1140C/Vega Vega 29.625297118219 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1140C
ivo://svo/fps JWST/MIRI.F1130W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F1130W filter" "nominal transmission of the JWST OTE is not included" 113085.01369407 113159.44161095 112960.71105038 106439.77854251 119874.08332072 7229.1513226991 113139.06431808 113085.01369407 114980.0 113010.56669778 7091.0090871176 0.015018291200703 JWST/MIRI.F1130W/Vega Vega 29.664461461834 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1130W
ivo://svo/fps JWST/MIRI.F1280W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F1280W filter" "nominal transmission of the JWST OTE is not included" 128101.37852502 128738.34483415 127059.67976377 112674.80265098 143435.71054959 24337.732201303 128619.87913623 128101.37852502 138010.0 127480.87085382 25306.737398933 0.0092754633318044 JWST/MIRI.F1280W/Vega Vega 23.522511414553 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1280W
ivo://svo/fps JWST/MIRI.F1500W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F1500W filter" "nominal transmission of the JWST OTE is not included" 150635.05972033 151469.0729305 149257.06715155 131345.03945183 171580.83713431 29426.240113509 151002.86963301 150635.05972033 150420.0 149809.77156728 31119.131214142 0.0048877557936468 JWST/MIRI.F1500W/Vega Vega 17.117779786579 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1500W
ivo://svo/fps JWST/MIRI.F1550C Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/jwst-mid-infrared-instrument/miri-instrumentation/miri-filters-and-dispersers "" "MIRI F1550C coronographic filter" "Approximate curve digitized from plot in reference webpage." 155167.73838977 155219.65212798 155079.49825604 149413.66738879 161556.33008836 7038.0136629677 155140.2788004 155167.73838977 155687.84 155114.08214975 7344.9077584328 0.004287090427937 JWST/MIRI.F1550C/Vega Vega 15.92728499363 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1550C
ivo://svo/fps JWST/MIRI.F1800W Angstrom em.wl MIRI 1 "" MIRI JWST https://jwst-docs.stsci.edu/display/JTI/MIRI+Filters+and+Dispersers "" "MIRI F1800W filter" "nominal transmission of the JWST OTE is not included" 179837.22247916 180508.30116808 178734.17093674 160441.28453493 203000.77757919 29145.674179292 180264.71247791 179837.22247916 184990.0 179176.69034094 29839.892353346 0.0024063728459195 JWST/MIRI.F1800W/Vega Vega 11.992554995353 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/MIRI.F1800W
